,0,1,2
ENSG00000173744,AGFG1,AGFG1,Agfg1
ENSG00000160216,AGPAT3,AGPAT3,Agpat3
ENSG00000170776,AKAP13,AKAP13,Akap13
ENSG00000123505,AMD1,AMD1,Amd1
ENSG00000143401,ANP32E,ANP32E,Anp32e
ENSG00000169604,ANTXR1,ANTXR1,Antxr1
ENSG00000151929,BAG3,BAG3,Bag3
ENSG00000132640,BTBD3,BTBD3,Btbd3
ENSG00000070831,CDC42,CDC42,Cdc42
ENSG00000134058,CDK7,CDK7,Cdk7
ENSG00000100526,CDKN3,CDKN3,Cdkn3
ENSG00000114107,CEP70,CEP70,Cep70
ENSG00000143771,CNIH4,CNIH4,Cnih4
ENSG00000198730,CTR9,CTR9,Ctr9
ENSG00000150316,CWC15,CWC15,Cwc15
ENSG00000272886,DCP1A,DCP1A,Dcp1a
ENSG00000104671,DCTN6,DCTN6,Dctn6
ENSG00000182108,DEXI,DEXI,Dexi
ENSG00000130826,DKC1,DKC1,Dkc1
ENSG00000105993,DNAJB6,DNAJB6,Dnajb6
ENSG00000096696,DSP,DSP,Dsp
ENSG00000088986,DYNLL1,DYNLL1,Dynll1
ENSG00000151247,EIF4E,EIF4E,Eif4e
ENSG00000134014,ELP3,ELP3,Elp3
ENSG00000160767,FAM189B,FAM189B,Fam189b
ENSG00000133393,FOPNL,FOPNL,Fopnl
ENSG00000141568,FOXK2,FOXK2,Foxk2
ENSG00000114416,FXR1,FXR1,Fxr1
ENSG00000145907,G3BP1,G3BP1,G3bp1
ENSG00000179348,GATA2,GATA2,Gata2
ENSG00000078369,GNB1,GNB1,Gnb1
ENSG00000109519,GRPEL1,GRPEL1,Grpel1
ENSG00000103342,GSPT1,GSPT1,Gspt1
ENSG00000125484,GTF3C4,GTF3C4,Gtf3c4
ENSG00000100644,HIF1A,HIF1A,Hif1a
ENSG00000064961,HMG20B,HMG20B,Hmg20b
ENSG00000113161,HMGCR,HMGCR,Hmgcr
ENSG00000198189,HSD17B11,HSD17B11,Hsd17b11
ENSG00000109971,HSPA8,HSPA8,Hspa8
ENSG00000143621,ILF2,ILF2,Ilf2
ENSG00000171988,JMJD1C,JMJD1C,Jmjd1c
ENSG00000117139,KDM5B,KDM5B,Kdm5b
ENSG00000170759,KIF5B,KIF5B,Kif5b
ENSG00000108424,KPNB1,KPNB1,Kpnb1
ENSG00000133703,KRAS,KRAS,Kras
ENSG00000155506,LARP1,LARP1,Larp1
ENSG00000174720,LARP7,LARP7,Larp7
ENSG00000121931,LRIF1,LRIF1,Lrif1
ENSG00000145220,LYAR,LYAR,Lyar
ENSG00000123562,MORF4L2,MORF4L2,Morf4l2
ENSG00000115364,MRPL19,MRPL19,Mrpl19
ENSG00000122140,MRPS2,MRPS2,Mrps2
ENSG00000204568,MRPS18B,MRPS18B,Mrps18b
ENSG00000188895,MSL1,MSL1,Msl1
ENSG00000105887,MTPN,MTPN,Mtpn
ENSG00000124151,NCOA3,NCOA3,Ncoa3
ENSG00000162599,NFIA,NFIA,Nfia
ENSG00000141905,NFIC,NFIC,Nfic
ENSG00000069275,NUCKS1,NUCKS1,Nucks1
ENSG00000108256,NUFIP2,NUFIP2,Nufip2
ENSG00000075188,NUP37,NUP37,Nup37
ENSG00000136811,ODF2,ODF2,Odf2
ENSG00000054277,OPN3,OPN3,Opn3
ENSG00000111845,PAK1IP1,PAK1IP1,Pak1ip1
ENSG00000168078,PBK,PBK,Pbk
ENSG00000165494,PCF11,PCF11,Pcf11
ENSG00000105355,PLIN3,PLIN3,Plin3
ENSG00000113575,PPP2CA,PPP2CA,Ppp2ca
ENSG00000221914,PPP2R2A,PPP2R2A,Ppp2r2a
ENSG00000110075,PPP6R3,PPP6R3,Ppp6r3
ENSG00000198901,PRC1,PRC1,Prc1
ENSG00000080815,PSEN1,PSEN1,Psen1
ENSG00000164611,PTTG1,PTTG1,Pttg1
ENSG00000164754,RAD21,RAD21,Rad21
ENSG00000132341,RAN,RAN,Ran
ENSG00000106615,RHEB,RHEB,Rheb
ENSG00000142541,RPL13A,RPL13A,Rpl13a
ENSG00000196950,SLC39A10,SLC39A10,Slc39a10
ENSG00000169371,SNUPN,SNUPN,Snupn
ENSG00000112081,SRSF3,SRSF3,Srsf3
ENSG00000118007,STAG1,STAG1,Stag1
ENSG00000135316,SYNCRIP,SYNCRIP,Syncrip
ENSG00000273841,TAF9,TAF9,Taf9
ENSG00000113649,TCERG1,TCERG1,Tcerg1
ENSG00000140332,TLE3,TLE3,Tle3
ENSG00000149483,TMEM138,TMEM138,Tmem138
ENSG00000183864,TOB2,TOB2,Tob2
ENSG00000198900,TOP1,TOP1,Top1
ENSG00000135451,TROAP,TROAP,Troap
ENSG00000102804,TSC22D1,TSC22D1,Tsc22d1
ENSG00000130338,TULP4,TULP4,Tulp4
ENSG00000109332,UBE2D3,UBE2D3,Ube2d3
ENSG00000173218,VANGL1,VANGL1,Vangl1
ENSG00000035403,VCL,VCL,Vcl
ENSG00000171475,WIPF2,WIPF2,Wipf2
ENSG00000113645,WWC1,WWC1,Wwc1
ENSG00000100811,YY1,YY1,Yy1
ENSG00000178951,ZBTB7A,ZBTB7A,Zbtb7a
ENSG00000155329,ZCCHC10,ZCCHC10,Zcchc10
