,0,1,2
ENSG00000114770,ABCC5,ABCC5,Abcc5
ENSG00000144827,ABHD10,ABHD10,Abhd10
ENSG00000105011,ASF1B,ASF1B,Asf1b
ENSG00000125124,BBS2,BBS2,Bbs2
ENSG00000134897,BIVM,BIVM,Bivm
ENSG00000197299,BLM,BLM,Blm
ENSG00000168283,BMI1,BMI1,Bmi1
ENSG00000012048,BRCA1,BRCA1,Brca1
ENSG00000136492,BRIP1,BRIP1,Brip1
ENSG00000122786,CALD1,CALD1,Cald1
ENSG00000143933,CALM2,CALM2,Calm2
ENSG00000106144,CASP2,CASP2,Casp2
ENSG00000175455,CCDC14,CCDC14,Ccdc14
ENSG00000186166,CCDC84,CCDC84,Ccdc84
ENSG00000144395,CCDC150,CCDC150,Ccdc150
ENSG00000097046,CDC7,CDC7,Cdc7
ENSG00000093009,CDC45,CDC45,Cdc45
ENSG00000146670,CDCA5,CDCA5,Cdca5
ENSG00000168564,CDKN2AIP,CDKN2AIP,Cdkn2aip
ENSG00000100162,CENPM,CENPM,Cenpm
ENSG00000031691,CENPQ,CENPQ,Cenpq
ENSG00000172292,CERS6,CERS6,Cers6
ENSG00000203668,CHML,CHML,Chml
ENSG00000088682,COQ9,COQ9,Coq9
ENSG00000139117,CPNE8,CPNE8,Cpne8
ENSG00000137504,CREBZF,CREBZF,Crebzf
ENSG00000088766,CRLS1,CRLS1,Crls1
ENSG00000121690,DEPDC7,DEPDC7,Depdc7
ENSG00000228716,DHFR,DHFR,Dhfr
ENSG00000138346,DNA2,DNA2,Dna2
ENSG00000162616,DNAJB4,DNAJB4,Dnajb4
ENSG00000159147,DONSON,DONSON,Donson
ENSG00000136982,DSCC1,DSCC1,Dscc1
ENSG00000135720,DYNC1LI2,DYNC1LI2,Dync1li2
ENSG00000129173,E2F8,E2F8,E2f8
ENSG00000148730,EIF4EBP2,EIF4EBP2,Eif4ebp2
ENSG00000171320,ESCO2,ESCO2,Esco2
ENSG00000174371,EXO1,EXO1,Exo1
ENSG00000106462,EZH2,EZH2,Ezh2
ENSG00000187741,FANCA,FANCA,Fanca
ENSG00000140525,FANCI,FANCI,Fanci
ENSG00000168496,FEN1,FEN1,Fen1
ENSG00000023909,GCLM,GCLM,Gclm
ENSG00000119969,HELLS,HELLS,Hells
ENSG00000143493,INTS7,INTS7,Ints7
ENSG00000108773,KAT2A,KAT2A,Kat2a
ENSG00000114166,KAT2B,KAT2B,Kat2b
ENSG00000134901,KDELC1,POGLUT2,Poglut2
ENSG00000143013,LMO4,LMO4,Lmo4
ENSG00000186687,LYRM7,LYRM7,Lyrm7
ENSG00000198162,MAN1A2,MAN1A2,Man1a2
ENSG00000169967,MAP3K2,MAP3K2,Map3k2
ENSG00000120539,MASTL,MASTL,Mastl
ENSG00000129071,MBD4,MBD4,Mbd4
ENSG00000125885,MCM8,MCM8,Mcm8
ENSG00000005810,MYCBP2,MYCBP2,Mycbp2
ENSG00000138386,NAB1,NAB1,Nab1
ENSG00000116044,NFE2L2,NFE2L2,Nfe2l2
ENSG00000178694,NSUN3,NSUN3,Nsun3
ENSG00000178425,NT5DC1,NT5DC1,Nt5dc1
ENSG00000030066,NUP160,NUP160,Nup160
ENSG00000147162,OGT,OGT,Ogt
ENSG00000135336,ORC3,ORC3,Orc3
ENSG00000164823,OSGIN2,OSGIN2,Osgin2
ENSG00000146247,PHIP,PHIP,Phip
ENSG00000116793,PHTF1,PHTF1,Phtf1
ENSG00000006576,PHTF2,PHTF2,Phtf2
ENSG00000127564,PKMYT1,PKMYT1,Pkmyt1
ENSG00000101868,POLA1,POLA1,Pola1
ENSG00000198056,PRIM1,PRIM1,Prim1
ENSG00000188647,PTAR1,PTAR1,Ptar1
ENSG00000070950,RAD18,RAD18,Rad18
ENSG00000051180,RAD51,RAD51,Rad51
ENSG00000111247,RAD51AP1,RAD51AP1,Rad51ap1
ENSG00000101773,RBBP8,RBBP8,Rbbp8
ENSG00000068615,REEP1,REEP1,Reep1
ENSG00000049541,RFC2,RFC2,Rfc2
ENSG00000164292,RHOBTB3,RHOBTB3,Rhobtb3
ENSG00000178966,RMI1,RMI1,Rmi1
ENSG00000117748,RPA2,RPA2,Rpa2
ENSG00000167325,RRM1,RRM1,Rrm1
ENSG00000171848,RRM2,RRM2,Rrm2
ENSG00000111011,RSRC2,RSRC2,Rsrc2
ENSG00000161526,SAP30BP,SAP30BP,Sap30bp
ENSG00000134294,SLC38A2,SLC38A2,Slc38a2
ENSG00000185591,SP1,SP1,Sp1
ENSG00000100650,SRSF5,SRSF5,Srsf5
ENSG00000198168,SVIP,SVIP,Svip
ENSG00000131747,TOP2A,TOP2A,Top2a
ENSG00000137941,TTLL7,TTLL7,Ttll7
ENSG00000176890,TYMS,TYMS,Tyms
ENSG00000077152,UBE2T,UBE2T,Ube2t
ENSG00000122042,UBL3,UBL3,Ubl3
ENSG00000162607,USP1,USP1,Usp1
ENSG00000122952,ZWINT,ZWINT,Zwint
